dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,0.8573796755819876,0.7399553379352513,0.0076069817620434,0.0138700778428006,90.12155446101264,90.12155446101264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,0.8573796755819876,0.7399553379352513,0.0076069817620434,0.0138700778428006,90.12155446101264,90.12155446101264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,0.8573796755819876,0.7399553379352513,0.0076069817620434,0.0138700778428006,90.12155446101264,90.12155446101264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,0.8573796755819876,0.7399553379352513,0.0076069817620434,0.0138700778428006,90.12155446101264,90.12155446101264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,0.8573796755819876,0.7643192053013773,0.0076069817620434,0.012570575156467,90.12155446101264,90.12155446101264,156136.94083475805,0.0,500.0,250.0,250.0,1299.5026863335393,1378.0831519646858,234.5207879911715,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,0.8573796755819876,0.7862111607978709,0.0076069817620434,0.0114029175531285,90.12155446101264,90.12155446101264,317211.62571131333,0.0,1000.0,250.0,250.0,2467.160289672022,2640.142630893722,469.041575982343,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,0.8573796755819876,0.795894833977955,0.0076069817620434,0.010886416657684,90.12155446101264,90.12155446101264,400464.6960054773,0.0,1500.0,250.0,250.0,2983.661185116535,3329.184206876065,703.5623639735145,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,0.8573796755819876,0.8008913549839125,0.0076069817620434,0.0106199157622395,90.12155446101264,90.12155446101264,452723.7972721612,0.0,2000.0,250.0,250.0,3250.162080561048,3798.225782858408,938.083151964686,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,0.8573796755819876,0.7884588549151594,0.0076069817620434,0.0112830316376629,90.12155446101264,90.12155446101264,324629.2206244863,0.0,1000.0,378.4861719519497,500.0,2587.046205137706,2745.642236503524,469.041575982343,v2.1.0,0.4981141000171192,True
SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,0.8573796755819876,0.8189012796884121,0.0076069817620434,0.0096593151653613,90.12155446101264,90.12155446101264,567657.2276555095,0.0,2000.0,500.0,500.0,4210.762677439239,4643.554308111217,938.083151964686,v2.1.0,0.4981141000171192,True
