dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,0.7399553379352513,0.7399553379352513,0.0138700778428006,0.0138700778428006,100.53309191005522,100.53309191005522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,0.7399553379352513,0.7399553379352513,0.0138700778428006,0.0138700778428006,100.53309191005522,100.53309191005522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,0.7399553379352513,0.7399553379352513,0.0138700778428006,0.0138700778428006,100.53309191005522,100.53309191005522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,0.7399553379352513,0.7399553379352513,0.0138700778428006,0.0138700778428006,100.53309191005522,100.53309191005522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,0.7399553379352513,0.7990691724854275,0.0138700778428006,0.0107171060406213,100.53309191005522,100.53309191005522,337748.1264716511,0.0,500.0,250.0,250.0,3152.9718021792305,3009.1359739088944,234.5207879911715,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,0.7399553379352513,0.8308953182587447,0.0138700778428006,0.0090195856385209,100.53309191005522,100.53309191005522,553560.3183899416,0.0,1000.0,250.0,250.0,4850.492204279684,4737.474715748466,469.041575982343,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,0.7399553379352513,0.840578991438829,0.0138700778428006,0.0085030847430764,100.53309191005522,100.53309191005522,638217.8156247298,0.0,1500.0,250.0,250.0,5366.993099724197,5426.51629173081,703.5623639735145,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,0.7399553379352513,0.8455755124447865,0.0138700778428006,0.0082365838476318,100.53309191005522,100.53309191005522,691882.0992092779,0.0,2000.0,250.0,250.0,5633.49399516871,5895.5578677131525,938.083151964686,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,0.7399553379352513,0.8424884300478904,0.0138700778428006,0.0084012404601234,100.53309191005522,100.53309191005522,606305.2540518553,0.0,1000.0,500.0,500.0,5468.837382677168,5281.618472738251,469.041575982343,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,0.7399553379352513,0.8785049193437086,0.0138700778428006,0.0064802184857019,100.53309191005522,100.53309191005522,883308.6172004836,0.0,2000.0,500.0,500.0,7389.85935709866,7441.159386211509,938.083151964686,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,500.0,3000.0,6.0,0.7399553379352513,0.8915150499009231,0.0138700778428006,0.00578629336476,100.53309191005522,100.53309191005522,1010028.4965009056,0.0,3000.0,500.0,500.0,8083.784478040513,8520.855068622683,1407.124727947029,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,500.0,4000.0,8.0,0.7399553379352513,0.9015080919128384,0.0138700778428006,0.005253291573871,100.53309191005522,100.53309191005522,1118256.040803994,0.0,4000.0,500.0,500.0,8616.78626892954,9458.938220587368,1876.166303929372,v2.1.1,0.3105348999961279,False
SURPLUS_FIRST,FAR_TARGET,750.0,1500.0,2.0,0.7399553379352513,0.8669930609154033,0.0138700778428006,0.0070942298299384,100.53309191005522,100.53309191005522,777641.7196255878,0.0,1500.0,750.0,750.0,6775.848012862192,6666.308615292245,703.5623639735145,v2.1.1,0.3105348999961279,False
