country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative,h_negative_obs,h_below_5,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,scenario_id,mode,horizon_year,calib_mustrun_scale,calib_vre_scale_pv,calib_vre_scale_wind_on,calib_vre_scale_wind_off,calib_export_cap_eff_gw,calib_export_coincidence_used,calib_flex_realization_factor,calib_price_b_floor,calib_price_b_intercept,calib_price_b_slope_surplus_norm,vre_penetration_share_gen,pv_penetration_share_gen,wind_penetration_share_gen,sr_hours_share,p10_load_mw,p10_must_run_mw,p50_load_mw,p50_must_run_mw,ir_p10_excess,must_run_scope_coverage,core_sanity_issue_count,core_sanity_issues,flag_h_negative_stage2,flag_h_negative_strong_stage2,flag_h_below_5_stage2,flag_p10_price_below_0,flag_capture_pv_low,flag_capture_wind_low,flag_sr_high,flag_far_low,flag_ir_high,flag_spread_high,low_price_flags_count,capture_flags_count,physical_flags_count,stage2_points_low_price,stage2_points_capture,stage2_points_physical,stage2_points_vol,stage2_market_score,score_breakdown,phase2_candidate_year,flag_capture_only_stage2,is_phase2_market,is_phase2_physical,signal_low_price,signal_value,signal_physical,flag_non_capture_stage2,active_flags,is_stage1_criteria,phase_market,stress_phys_state,quality_ok
DE,2025,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,da1fece779c1800aa7655fa17a5c59013ab071d473f63093304fdc287b39cc4c,528.1899,528.1899,31.6974537475,93.72828455868506,19.943855546237707,145.36959385242278,169.71354795717278,22.6446,3.4586516,85.6558569437879,18.67703205138275,66.97882489240514,0.2752222143066779,122.831338469328,127.3586932764439,120.31185103935518,118.37156813306056,117.97500875251843,0.9636919177805664,0.9604634307716006,118.37156813306056,117.97500875251843,0.9636919177805664,0.9604634307716006,0.5939778881468974,0.591987988823147,0,0,0,0,121,121,31.811525180597176,93.39900578524114,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0502459249379299,0.0428720806664421,199.28615272591756,199.28615272591756,,none,0,0,7884,876,1.0,0.676034076936789,1.0,OK,DEMAND_UP,SCEN,2025,9425.893,19.466700000000003,36.46300000000001,5.3717500000000005,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.856558569437879,0.1867703205138275,0.6697882489240514,0.0,46882.337903864405,2355.646431232241,60260.15931065623,2586.265437959775,-0.94975407506207,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2026,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,1baedce1664008598532a30371c95989fc12385e9a00ced72ff4d9e3bfb4c1ce,538.2506599999999,538.2506599999999,31.6974537475,94.7325290314763,20.306477852041407,146.73646063101768,171.0804147357677,22.6446,3.4586516,85.77046113528012,18.52780974166824,67.2426513936119,0.2726173352597797,123.9948766830958,126.20518660993925,122.76483213958588,119.59848952934978,119.10964643175446,0.9645437999427812,0.9606013540073358,119.59848952934978,119.10964643175446,0.9645437999427812,0.9606013540073358,0.5947918163225312,0.5923606829941783,0,0,0,0,120,120,31.884313088672307,94.2200998438882,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0493067487708658,0.0420707333642656,201.07621901861611,201.07621901861611,,none,0,0,7884,876,1.0,0.6764713326651406,1.0,OK,DEMAND_UP,SCEN,2026,9425.893,19.80526,36.85368,5.46942,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8577046113528012,0.1852780974166823,0.672426513936119,0.0,47775.33481631895,2355.646431232241,61407.97186895443,2586.265437959775,-0.950693251229134,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2027,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,197fb5e81f743d0e34a52b2903b34c6e0acd6facf0d5bee6d69f217ad8aacf78,548.31142,548.31142,31.6974537475,95.73677350426752,20.669100157845104,148.10332740961263,172.44728151436263,22.6446,3.4586516,85.88324855516933,18.380952989891007,67.50229556527833,0.2701080481045108,125.15843713392054,126.61030076682772,124.3504703787206,120.86613909705672,120.26581812373814,0.9657050844101625,0.9609085961584256,120.86613909705672,120.26581812373814,0.9657050844101625,0.9609085961584256,0.5957334351372097,0.5927745313590985,0,0,0,0,119,119,31.953646071325977,95.04119390253528,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0484020377842444,0.041298793302536,202.88627760034785,202.88627760034785,,none,0,0,7884,876,1.0,0.6768941822942396,1.0,OK,DEMAND_UP,SCEN,2027,9425.893,20.14382,37.24436,5.56709,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8588324855516933,0.18380952989891,0.6750229556527833,0.0,48668.331728773526,2355.646431232241,62555.784427252656,2586.265437959775,-0.9515979622157557,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2028,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,07fc0522dfdb13d33ac913f718a20cc31d74331a6259c76ff6abb56cdbf6e275,558.37218,558.37218,31.72202261,97.19849206057512,21.087971354113154,150.0084860246883,174.41739931768828,22.70664,3.4966016,86.00545966830926,18.18741864865253,67.81804101965672,0.2686532234193478,126.27358836627256,128.973983713628,124.78608245459372,121.98753441350424,121.34688851303686,0.9660573995859206,0.9609839245326174,121.98753441350424,121.34688851303686,0.9660573995859206,0.9609839245326174,0.5963003928816464,0.5931687827217773,0,0,0,0,120,120,32.35802284534813,95.80249796283482,0.0,0.0,0.0,0.0,0.0,0.0,,,0.047655371707905,0.0406657795880876,204.5739628377476,204.5739628377476,,none,0,0,7905,879,1.0,0.6775006814165774,1.0,OK,DEMAND_UP,SCEN,2028,9425.893,20.482380000000003,37.63504,5.66476,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8600545966830926,0.1818741864865253,0.6781804101965672,0.0,49440.090066330784,2356.0858693832997,63527.7802318136,2586.504602787825,-0.9523446282920948,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2029,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,9be18c42b778aa02257c4651da52c6725129908ce565748298ed5369215cb333,568.4329400000001,568.4329400000001,31.6974537475,97.74526244985005,21.394344769452516,150.83706096680254,175.18101507155257,22.6446,3.4586516,86.10354318656805,18.0941146702188,68.00942851634925,0.265355946766214,127.48559125130762,139.1137860367812,121.01446366280312,123.22503637551048,122.55968212096936,0.9665801065518184,0.961361052006042,123.22503637551048,122.55968212096936,0.9665801065518184,0.961361052006042,0.5967928391342592,0.593570452951409,0,0,0,0,118,118,32.31100832927147,96.68338201982937,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0466886913140057,0.0398368891148355,206.4787448761409,206.4787448761409,,none,0,0,7884,876,1.0,0.6776693337717989,1.0,OK,DEMAND_UP,SCEN,2029,9425.893,20.82094,38.02572000000001,5.76243,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8610354318656804,0.1809411467021879,0.6800942851634925,0.0,50454.32555368265,2355.646431232241,64851.40954384909,2586.265437959775,-0.9533113086859942,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:DEMAND_UP,27e465e68b67d2c941180cca1c2006df1d46a847b0eea49f89f4e65ebffd0689,578.4937000000001,577.0136128690001,31.6974537475,98.74950692264126,21.756967075256217,152.20392774539746,176.5478818501475,22.6446,3.4586516,0.8621113215880268,0.1795402664440038,0.6825710551440229,0.2637787468975233,128.6041244627808,137.37106632026098,123.72529327983342,124.33686924114802,123.64805811999652,0.9668186752216664,0.9614626174433574,124.33686924114802,123.64805811999652,0.9668186752216664,0.9614626174433574,0.5971518379471358,0.5938436894510023,0,0,0,0,119,119,32.89345644125173,97.58259643274272,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0460630370874062,0.0392444814038399,208.21650598713427,208.21650598713427,,none,0,0,7884,876,1.0,0.6782905135897174,1.0,OK,DEMAND_UP,SCEN,2030,9425.893,21.1595,38.4164,5.8601,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2031,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,e305dd7555b3d35386699591c8102922e7f2a965ff2e98530ee9b6060cff5b50,588.55446,588.55446,32.15984738746886,99.7537513954325,22.11958938105992,154.03318816396126,178.37714226871128,22.6446,3.4586516,86.35253721686058,18.02913029014813,68.32340692671245,0.261714418346199,129.79844391661516,134.91650579432098,126.95022611260404,125.5653164442935,124.83070464918544,0.9673869166332912,0.9617272817952958,125.5653164442935,124.83070464918544,0.9673869166332912,0.9617272817952958,0.5978067521029795,0.5943093222097102,0,0,0,0,117,117,32.67345522061419,98.3255306176864,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0450924967391679,0.0384749441878326,210.0433225328699,210.0433225328699,,none,0,0,7884,876,1.0,0.6788064544579628,1.0,OK,DEMAND_UP,SCEN,2031,9425.893,21.49806,38.80708,5.95777,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8635253721686058,0.1802913029014813,0.6832340692671245,0.0,52240.31937859177,2355.646431232241,67147.03466044553,2586.265437959775,-0.954907503260832,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2032,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,e316f206245dc14fd8d2a8c188c36fd9a862447c26f53f6797a9f1a3e5d3221b,598.61522,598.61522,32.69532083322664,101.23446565095534,22.5423398796332,156.4721263638152,180.8810396568152,22.70664,3.4966016,86.5055434559029,18.07559316070901,68.42995029519386,0.2613901570424741,130.894180858249,133.53354437864257,129.4228760873062,126.62295270473506,125.89935650384712,0.9673688461510797,0.9618407455423018,126.62295270473506,125.89935650384712,0.9673688461510797,0.9618407455423018,0.5981491789840525,0.5947310113909593,0,0,0,0,118,118,33.078318204792694,99.08246073809806,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0444516492401467,0.0379319456661993,211.6912588926432,211.6912588926432,,none,0,0,7905,879,1.0,0.6798277442765543,1.0,OK,DEMAND_UP,SCEN,2032,9425.893,21.83662,39.19776,6.05544,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8650554345590289,0.1807559316070901,0.6842995029519386,0.0,53003.33980084112,2356.0858693832997,68106.35898725962,2586.504602787825,-0.9555483507598532,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2033,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,7e1a4f54d991c9be7ee3836b0ddc966d230b3238070eff863688216e8c69077b,608.67598,608.67598,33.17277952474091,101.762240341015,22.84483399266732,157.77985385842322,182.12380796317325,22.6446,3.4586516,86.63329392405822,18.21441133684657,68.41888258721166,0.2592181374701581,132.09424501944287,135.01357762195084,130.4792950691193,127.75972639678032,127.10308896964398,0.9671861660436112,0.9622151892456462,127.75972639678032,127.10308896964398,0.9671861660436112,0.9622151892456462,0.5981606850841718,0.5950863618655391,0,0,0,0,118,118,33.476378732659086,99.96763216262228,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0436018356899392,0.0372030452064167,213.58763553442543,213.58763553442543,,none,0,0,7884,876,1.0,0.6803909036795022,1.0,OK,DEMAND_UP,SCEN,2033,9425.893,22.17518,39.588440000000006,6.15311,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8663329392405822,0.1821441133684657,0.6841888258721165,0.0,54026.31320350089,2355.646431232241,69442.65977704195,2586.265437959775,-0.9563981643100607,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
DE,2034,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,entsoe_total_load_no_pumping_adjust,observed,SCEN:DEMAND_UP,87f5426a95f226a97333238bd67d55135411beb7c9c769b39b29c5a6ef769c2e,618.73674,618.73674,33.67924559337694,102.76648481380624,23.207456298471023,159.6531867056542,183.99714081040415,22.6446,3.4586516,86.76938456895118,18.304222253149565,68.4651623158016,0.2580308819315533,133.24215175071495,141.48767335913442,128.68079937158927,128.8659126717538,128.2371396517068,0.9671557459748268,0.962436721163344,128.8659126717538,128.2371396517068,0.9671557459748268,0.962436721163344,0.598332583147751,0.5954131502465413,0,0,0,0,119,119,33.997063584886526,100.78868293509016,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0428928627518914,0.0365981176420847,215.3750544451495,215.3750544451495,,none,0,0,7884,876,1.0,0.6811525214505035,1.0,OK,DEMAND_UP,SCEN,2034,9425.893,22.51374,39.97912,6.25078,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,0.8676938456895118,0.1830422225314956,0.6846516231580161,0.0,54919.31011595545,2355.646431232241,70590.47233534016,2586.265437959775,-0.9571071372481086,,,,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,low=0;cap=1;phys=0;vol=0,False,True,False,False,False,True,False,0,flag_capture_pv_low,False,uncertain,pas_de_surplus_structurel,True
