scenario_id,country,year,dispatch_mode,objective,bess_power_mw_test,bess_energy_mwh_test,bess_duration_h_test,far_before,far_after,far_before_trivial,far_after_trivial,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,delta_h_negative,delta_h_below_5,baseload_price_before,baseload_price_after,capture_ratio_pv_before,capture_ratio_pv_after,capture_ratio_wind_before,capture_ratio_wind_after,delta_capture_ratio_pv,delta_capture_ratio_wind,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,wind_capture_price_before,wind_capture_price_after,days_spread_gt50_before,days_spread_gt50_after,avg_daily_spread_before,avg_daily_spread_after,low_residual_share_before,low_residual_share_after,sr_hours_share_before,sr_hours_share_after,ir_p10_before,ir_p10_after,turned_off_family_low_price,turned_off_family_physical,turned_off_family_value_pv,turned_off_family_value_wind,turned_off_family_any,revenue_bess_price_taker,soc_min,soc_max,soc_start_mwh,soc_end_mwh,soc_end_target_mwh,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,simultaneous_charge_discharge_hours,eta_roundtrip,eta_charge,eta_discharge,soc_boundary_mode,charge_vs_surplus_violation_hours,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,3000.0,6.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,500.0,6.0,3000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,4000.0,8.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,500.0,8.0,4000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,1500.0,2.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,750.0,2.0,1500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,3000.0,4.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,750.0,4.0,3000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,4500.0,6.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,750.0,6.0,4500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,750.0,6000.0,8.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,750.0,8.0,6000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,2000.0,2.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1000.0,2.0,2000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,4000.0,4.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1000.0,4.0,4000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,6000.0,6.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1000.0,6.0,6000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1000.0,8000.0,8.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1000.0,8.0,8000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1500.0,3000.0,2.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1500.0,2.0,3000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1500.0,6000.0,4.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1500.0,4.0,6000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1500.0,9000.0,6.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1500.0,6.0,9000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,1500.0,12000.0,8.0,1.0,1.0,False,False,457,96,756,756,-361.0,0.0,78.51545827166116,79.10311055448024,0.5887752808034911,0.6194632350381407,0.838449266989748,0.837975987515453,0.0306879542346496,-0.0004732794742949,0.0,0.0,46.22796099131209,49.001468765658025,65.83122843523844,66.28650718243463,319,319,112.00633879781418,108.20800546448086,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.8009763000000021,True,1500.0,8.0,12000.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,2.0,0.9994023008613372,0.9994023008613372,False,False,247,247,1642,1642,0.0,0.0,63.03954912899921,63.03954912899921,0.6789574809169381,0.6789574809169381,0.8821362744913085,0.8821362744913085,0.0,0.0,0.002132,0.002132,42.80117347476487,42.80117347476487,55.60947301426717,55.60947301426717,272,272,71.5241256830601,71.5241256830601,0.0837887067395264,0.0837887067395264,0.1691712204007286,0.1691712204007286,0.2951989701260838,0.2951989701260838,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,0.0,2.0,0.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,4.0,0.9994023008613372,0.9994023008613372,False,False,247,247,1642,1642,0.0,0.0,63.03954912899921,63.03954912899921,0.6789574809169381,0.6789574809169381,0.8821362744913085,0.8821362744913085,0.0,0.0,0.002132,0.002132,42.80117347476487,42.80117347476487,55.60947301426717,55.60947301426717,272,272,71.5241256830601,71.5241256830601,0.0837887067395264,0.0837887067395264,0.1691712204007286,0.1691712204007286,0.2951989701260838,0.2951989701260838,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,0.0,4.0,0.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,6.0,0.9994023008613372,0.9994023008613372,False,False,247,247,1642,1642,0.0,0.0,63.03954912899921,63.03954912899921,0.6789574809169381,0.6789574809169381,0.8821362744913085,0.8821362744913085,0.0,0.0,0.002132,0.002132,42.80117347476487,42.80117347476487,55.60947301426717,55.60947301426717,272,272,71.5241256830601,71.5241256830601,0.0837887067395264,0.0837887067395264,0.1691712204007286,0.1691712204007286,0.2951989701260838,0.2951989701260838,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,0.0,6.0,0.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,8.0,0.9994023008613372,0.9994023008613372,False,False,247,247,1642,1642,0.0,0.0,63.03954912899921,63.03954912899921,0.6789574809169381,0.6789574809169381,0.8821362744913085,0.8821362744913085,0.0,0.0,0.002132,0.002132,42.80117347476487,42.80117347476487,55.60947301426717,55.60947301426717,272,272,71.5241256830601,71.5241256830601,0.0837887067395264,0.0837887067395264,0.1691712204007286,0.1691712204007286,0.2951989701260838,0.2951989701260838,False,False,False,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,0.0,8.0,0.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,500.0,2.0,0.9994023008613372,0.9995517261480726,False,False,247,74,1642,1642,-173.0,0.0,63.03954912899921,63.04822725720142,0.6789574809169381,0.679217578642804,0.8821362744913085,0.8820850202477072,0.0002600977258658,-5.125424360130637e-05,0.002132,0.0015989982091109,42.80117347476487,42.82346425535758,55.60947301426717,55.61389681675056,272,272,71.5241256830601,71.4851092896175,0.0837887067395264,0.0836748633879781,0.1691712204007286,0.1692850637522768,0.2951989701260838,0.2951542684081015,False,False,False,False,False,,0.0,500.0,0.0,0.0,0.0,250.0,250.0,533.0017908890261,469.0415759823429,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,250.0,2.0,500.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,1000.0,4.0,0.9994023008613372,0.9997011514348082,False,False,247,73,1642,1642,-174.0,0.0,63.03954912899921,63.048439029944205,0.6789574809169381,0.6792250242885439,0.8821362744913085,0.8820846033375309,0.0002675433716058,-5.167115377757714e-05,0.002132,0.0010659964182219,42.80117347476487,42.82407753146863,55.60947301426717,55.61405733277884,272,272,71.5241256830601,71.4851092896175,0.0837887067395264,0.0836748633879781,0.1691712204007286,0.1692850637522768,0.2951989701260838,0.2951542684081015,False,False,False,False,False,,0.0,1000.0,0.0,0.0,0.0,250.0,250.0,1066.0035817780522,938.0831519646858,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,250.0,4.0,1000.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,1500.0,6.0,0.9994023008613372,0.9997120839514978,False,False,247,73,1642,1642,-174.0,0.0,63.03954912899921,63.048439029944205,0.6789574809169381,0.6792250242885439,0.8821362744913085,0.8820846033375309,0.0002675433716058,-5.167115377757714e-05,0.002132,0.001027,42.80117347476487,42.82407753146863,55.60947301426717,55.61405733277884,272,272,71.5241256830601,71.4851092896175,0.0837887067395264,0.0836748633879781,0.1691712204007286,0.1692850637522768,0.2951989701260838,0.2951542684081015,False,False,False,False,False,,0.0,1036.581882920978,0.0,0.0,0.0,250.0,250.0,1105.0,972.4,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,250.0,6.0,1500.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,2000.0,8.0,0.9994023008613372,0.9997120839514978,False,False,247,73,1642,1642,-174.0,0.0,63.03954912899921,63.048439029944205,0.6789574809169381,0.6792250242885439,0.8821362744913085,0.8820846033375309,0.0002675433716058,-5.167115377757714e-05,0.002132,0.001027,42.80117347476487,42.82407753146863,55.60947301426717,55.61405733277884,272,272,71.5241256830601,71.4851092896175,0.0837887067395264,0.0836748633879781,0.1691712204007286,0.1692850637522768,0.2951989701260838,0.2951542684081015,False,False,False,False,False,,0.0,1036.581882920978,0.0,0.0,0.0,250.0,250.0,1105.0,972.4,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,250.0,8.0,2000.0
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,1000.0,2.0,0.9994023008613372,0.9997011514348082,False,False,247,73,1642,1642,-174.0,0.0,63.03954912899921,63.048439029944205,0.6789574809169381,0.6792242426272902,0.8821362744913085,0.8820849037996841,0.0002667617103521,-5.137069162441943e-05,0.002132,0.0010659964182219,42.80117347476487,42.82402824894674,55.60947301426717,55.61407627644858,272,272,71.5241256830601,71.4851092896175,0.0837887067395264,0.0836748633879781,0.1691712204007286,0.1692850637522768,0.2951989701260838,0.2951542684081015,False,False,False,False,False,,0.0,1000.0,0.0,0.0,0.0,500.0,500.0,1066.003581778052,938.0831519646858,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,0.0,v2.2.2,0.6280096000000412,True,500.0,2.0,1000.0
